"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","DECIMALS_DISPLAYED","NA_STO","SECTOR","ACCOUNTS","INDEX_TYPE","PRICES","S_ADJUSTMENT","TRANSFORMATION","UNIT","IFS_FLAG","DOI","FULL_DESCRIPTION","AUTHOR","PUBLISHER","DEPARTMENT","CONTACT_POINT","TOPIC","TOPIC_DATASET","KEYWORDS","KEYWORDS_DATASET","LANGUAGE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","ACCESS_SHARING_LEVEL","SECURITY_CLASSIFICATION","SHORT_SOURCE_CITATION","FULL_SOURCE_CITATION","LICENSE","SUGGESTED_CITATION","KEY_INDICATOR","SERIES_NAME","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3"
"IMF.STA:QGDP_WCA(4.0.0)","U002.B1GQ_S1_V.SA_PU.Q","OBS_VALUE","Africa","Gross domestic product (GDP), Total economy, Current prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Current prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","1340","1360","1370","1380","1410","1420","1440","1470","1490","1500","1530","1540","1570","1580","1580","1590","1610","1630","1630","1630","1670","1690","1730","1750","1760","1790","1830","1850","1850","1910","1960","2000","2060","1750","2010","2100","2100","2160","2140","2190","2290","2390","2460","2460","2520","2550","2580","2630","2670","2710","2730","2770","2760","2790","2850"
"IMF.STA:QGDP_WCA(4.0.0)","G001.B1GQ_S1_Q.SA_PU.Q","OBS_VALUE","World","Gross domestic product (GDP), Total economy, Constant prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","25400","25500","25700","25800","26100","26300","26600","26900","27100","27300","27500","27800","28000","28300","28500","28700","28900","29100","29400","29700","29900","30200","30500","30900","31200","31400","31600","31800","32000","32300","32600","32800","32500","29000","32000","32700","33100","33200","33900","34400","34500","34800","35100","35300","35600","36000","36300","36600","36900","37200","37500","37800","38000","38300","38600"
"IMF.STA:QGDP_WCA(4.0.0)","G001.B1GQ_S1.IX.Q","OBS_VALUE","World","Gross domestic product (GDP), Total economy","Index","Quarterly","Units","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","Price deflator","","Seasonally adjusted (SA)","","Index","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","95.26607275","95.82863788","96.26530344","96.67106757","97.03534203","97.29817619","97.71390842","98.19887479","98.71634265","99.11463313","99.46729496","99.44687556","99.59988129","99.98203175","100.2316055","100.1792569","100.2554726","100.7520112","100.9136119","101.4697966","102.0994334","102.1605931","102.7441344","103.3191637","104.0727971","104.8238892","105.7711627","106.5442473","106.9769273","108.0675783","108.735554","109.6918716","110.3693617","110.3739593","111.1253179","112.61285","114.4553384","115.4379896","117.2028592","119.6575862","122.0244095","124.7737219","125.7419975","126.9240491","128.1412616","128.6610059","129.9707714","130.7587108","131.7616827","132.2958309","132.6186364","133.4581521","134.5826387","135.7807807","136.4708655"
"IMF.STA:QGDP_WCA(4.0.0)","G110.B1GQ_S1.IX.Q","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Total economy","Index","Quarterly","Units","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","Price deflator","","Seasonally adjusted (SA)","","Index","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","95.60286293","95.60709464","95.97166157","96.34859069","96.92915434","97.21107548","97.67761524","98.03251543","98.50195414","99.10831767","99.35585514","99.554674","99.69447793","99.98828133","100.1357307","100.1786327","100.400309","100.6991804","101.0967768","101.5188495","101.9809666","102.4586919","102.9328396","103.4846589","103.9523171","104.5895282","105.2771093","105.9825647","107.0681908","107.8287203","108.6241055","109.3455053","110.0291271","111.5029157","111.24486","111.9270386","113.0951954","114.8180859","116.8844716","118.6550916","121.4558628","123.4638866","124.9844984","126.439457","127.5607712","128.3400483","128.9058436","129.5370217","130.2604055","131.3226131","132.0954721","133.2232905","133.9680403","134.6085131","135.3416586"
"IMF.STA:QGDP_WCA(4.0.0)","U142.B1GQ_S1_V.SA_PU.Q","OBS_VALUE","Asia","Gross domestic product (GDP), Total economy, Current prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Current prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","10000","10200","10300","10500","10700","10900","11100","11300","11600","11700","11900","12000","12300","12500","12600","12800","13000","13300","13400","13700","13900","14100","14400","14700","15000","15300","15500","15700","15900","16200","16500","16800","16900","14800","16700","17500","18000","17700","18600","19500","20000","20600","20900","21200","21800","22200","22800","23200","23600","23900","24200","24600","25100","25700","26000"
"IMF.STA:QGDP_WCA(4.0.0)","U150.B1GQ_S1_Q.SA_PU.Q","OBS_VALUE","Europe","Gross domestic product (GDP), Total economy, Constant prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","6270","6260","6260","6240","6240","6280","6310","6330","6360","6380","6410","6430","6460","6480","6510","6540","6570","6590","6620","6670","6720","6770","6820","6880","6900","6950","6970","7000","7050","7080","7110","7140","6940","6180","6850","6880","6930","7150","7230","7270","7290","7320","7330","7340","7370","7390","7430","7450","7480","7520","7560","7590","7610","7630","7640"
"IMF.STA:QGDP_WCA(4.0.0)","G119.B1GQ_S1_Q.SA_PU.Q","OBS_VALUE","G7","Gross domestic product (GDP), Total economy, Constant prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","8770","8770","8780","8770","8830","8880","8940","8990","9000","9050","9120","9160","9230","9270","9300","9320","9380","9390","9450","9490","9550","9610","9680","9760","9800","9850","9870","9890","9950","10000","10100","10100","9880","8930","9760","9860","9940","10100","10200","10400","10400","10400","10500","10500","10600","10600","10700","10700","10700","10800","10900","10900","10900","11000","11000"
"IMF.STA:QGDP_WCA(4.0.0)","U142.B1GQ_S1_Q.SA_PU.Q","OBS_VALUE","Asia","Gross domestic product (GDP), Total economy, Constant prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","10600","10600","10700","10800","11000","11200","11400","11500","11700","11800","12000","12100","12300","12500","12600","12800","13000","13100","13300","13500","13600","13800","14100","14200","14400","14600","14700","14800","15000","15200","15300","15400","15500","13700","15300","15800","16000","15700","16300","16600","16600","16800","17000","17100","17400","17700","17800","18000","18200","18400","18600","18800","19000","19200","19400"
"IMF.STA:QGDP_WCA(4.0.0)","U009.B1GQ_S1_V.SA_PU.Q","OBS_VALUE","Oceania","Gross domestic product (GDP), Total economy, Current prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Current prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","296","300","301","302","305","309","313","320","324","325","327","331","335","336","341","342","344","348","352","361","365","364","368","371","378","383","389","394","401","407","415","417","419","394","414","429","446","465","461","475","493","514","522","531","540","541","547","553","560","561","563","571","578","581","591"
"IMF.STA:QGDP_WCA(4.0.0)","U019.B1GQ_S1_V.SA_PU.Q","OBS_VALUE","Americas","Gross domestic product (GDP), Total economy, Current prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Current prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","6560","6620","6690","6740","6830","6880","6950","7030","7060","7170","7250","7290","7330","7390","7440","7430","7440","7490","7560","7630","7710","7770","7840","7980","8110","8190","8270","8310","8370","8460","8570","8640","8560","7780","8460","8660","8970","9270","9460","9740","9970","10300","10500","10600","10800","10900","11100","11200","11400","11500","11600","11700","11900","12000","12200"
"IMF.STA:QGDP_WCA(4.0.0)","G120.B1GQ_S1_Q.SA_PU.Q","OBS_VALUE","G20","Gross domestic product (GDP), Total economy, Constant prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","18300","18300","18500","18600","18800","19000","19200","19400","19500","19700","19900","20000","20200","20400","20600","20700","20900","21100","21200","21400","21600","21900","22100","22400","22600","22800","22900","23000","23200","23400","23600","23800","23600","21000","23300","23900","24200","24200","24700","25100","25100","25300","25500","25700","26000","26300","26500","26800","27000","27200","27400","27600","27800","28000","28300"
"IMF.STA:QGDP_WCA(4.0.0)","G110.B1GQ_S1_Q.SA_PU.Q","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Total economy, Constant prices","Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar","Quarterly","Billions","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Purchasing power parity (PPP) international dollar","","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","11800","11800","11800","11800","11900","12000","12000","12100","12100","12200","12300","12400","12500","12500","12600","12600","12700","12700","12800","12900","13000","13000","13200","13300","13300","13400","13400","13500","13600","13600","13700","13700","13400","12300","13300","13400","13500","13900","14000","14200","14200","14300","14400","14400","14500","14600","14600","14700","14700","14800","14900","15000","15000","15000","15100"
"IMF.STA:QGDP_WCA(4.0.0)","G001.B1GQ_S1.POP_PCH_PT.Q","OBS_VALUE","World","Gross domestic product (GDP), Total economy","Period-over-preceding period percent change, Percent","Quarterly","Units","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","Price deflator","","Seasonally adjusted (SA)","Period-over-preceding period percent change","Percent","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","","0.590519917","0.455673345","0.421506104","0.37681849","0.270864362","0.427276491","0.496312525","0.526959053","0.403469652","0.355812068","-0.020528757","0.153856752","0.383685662","0.249618606","-0.052227689","0.076079364","0.495273313","0.160394517","0.55114936","0.620516462","0.059902065","0.571199994","0.559671186","0.729422652","0.721698783","0.90368097","0.730902984","0.406103517","1.01951987","0.618109272","0.879489319","0.617630203","0.004165645","0.68073904","1.338607734","1.636126239","0.858545522","1.528846443","2.094425823","1.977996899","2.253083945","0.776025246","0.940061158","0.959008558","0.405602607","1.017997188","0.606243555","0.767040218","0.405389612","0.244002774","0.633030027","0.842576131","0.890264905","0.50823452"
"IMF.STA:QGDP_WCA(4.0.0)","G001.B1GQ_S1_Q.POP_PCH_PT.Q","OBS_VALUE","World","Gross domestic product (GDP), Total economy, Constant prices","Period-over-preceding period percent change, Percent","Quarterly","Units","","Gross domestic product (GDP)","Total economy","GDP by expenditure approach","","Constant prices","Seasonally adjusted (SA)","Period-over-preceding period percent change","Percent","","","","","International Monetary Fund (IMF)","Statistics Department (STA)","datahelp@imf.org","","National accounts; Gross domestic product (GDP); International Financial Statistics (IFS)","","","English","2025-12-17T14:00:00Z","2025-12-17T14:00:00Z","","","Public (Unrestricted)","Public or Unrestricted","","","","","","","","0.383808709","0.59645894","0.472892155","1.031447143","1.055448968","1.092117192","0.893023881","0.742107582","0.812636201","0.965444061","0.769776277","1.023893176","0.76579645","0.720428943","0.677830535","0.940328125","0.721071841","0.789040772","0.986796957","0.877766252","1.037032008","1.072173062","1.092251857","0.992577954","0.748447185","0.622761448","0.460448162","0.776113224","0.973487336","0.870690573","0.593930628","-0.908253294","-10.8944331","10.60213009","2.187115248","1.094986766","0.419543312","1.947588788","1.49505714","0.395617614","0.732742979","0.844136618","0.587447775","1.018288133","1.044216321","0.849415463","0.782825587","0.769508907","0.832419804","0.882280679","0.75114459","0.625962672","0.801711563","0.826605907"
