transactionid,accountid,transactionamount,transactiondate,transactiontype,location,deviceid,ip_address,merchantid,channel,customerage,customeroccupation,transactionduration,loginattempts,accountbalance,previoustransactiondate,log_amount,high_value_txn,time_since_last_txn_mins,txn_hour,is_night_txn,high_login_attempts,long_txn_duration,fraud_flag,fraud_score,fraud_risk_score,fraud_risk_bucket,expected_fraud_loss
TX000073,AC00282,24.77,2023-07-04 18:20:33,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,2024-11-04 08:12:15,3.2492110246642736,0,0.0,18,0,0,0,0,-0.21187390288246738,14.145900309505846,Low,3.503939506664598
TX000074,AC00110,233.92,2023-10-20 16:54:28,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,2024-11-04 08:08:45,5.459245030654318,0,0.0,16,0,0,1,0,-0.05542151061746492,55.59975659787849,Medium,130.05895063375735
TX000075,AC00265,1212.51,2023-10-04 16:36:29,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,605.95,2024-11-04 08:06:51,7.10127226575899,1,0.0,16,0,0,0,0,-0.04613263359084441,58.06095113614844,Medium,703.9948386209135
TX000076,AC00239,232.12,2023-12-28 17:31:03,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,6689.87,2024-11-04 08:09:17,5.4515533424468945,0,0.0,17,0,0,0,0,-0.24925352318918031,4.2417410577649886,Low,9.845929343284093
TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,2024-11-04 08:08:22,5.0976077814408045,0,0.0,17,0,0,0,0,-0.2494267784153535,4.195835097855937,Low,6.8236866196431105
TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,2024-11-04 08:11:36,4.527532916260939,0,0.0,16,0,0,0,0,-0.17636683940222303,23.553904146475173,Low,21.558888465268726
TX000079,AC00464,120.29,2023-12-18 18:46:27,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1,1362.39,2024-11-04 08:06:50,4.798184372320789,0,0.0,18,0,0,0,0,-0.2401565217766447,6.652095950719415,Low,8.001806219120384
TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,2024-11-04 08:10:29,5.166213525914699,0,0.0,18,0,0,0,0,-0.234961204421112,8.028654889261876,Low,13.989931144538819
TX000081,AC00406,183.71,2023-06-19 18:22:10,Debit,Denver,D000488,86.103.2.29,M074,ATM,38,Engineer,102,1,552.52,2024-11-04 08:09:51,5.218787027591229,0,0.0,18,0,0,0,0,-0.24826311488223812,4.504161101513825,Low,8.274594359591047
TX000082,AC00445,345.39,2023-10-23 17:13:57,Credit,Phoenix,D000097,131.41.45.13,M081,Online,58,Engineer,80,1,6451.96,2024-11-04 08:08:16,5.847565307911304,0,0.0,17,0,0,0,0,-0.2549480793881717,2.732903059946424,Low,9.439173878748955
TX000083,AC00236,922.55,2023-01-23 16:32:48,Debit,Detroit,D000206,21.97.154.92,M004,ATM,63,Retired,87,1,4715.84,2024-11-04 08:11:07,6.828224940025329,1,0.0,16,0,0,0,0,-0.07083678314034814,51.51530328554236,Medium,475.254430460771
TX000084,AC00220,259.91,2023-11-06 16:34:10,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,2024-11-04 08:09:38,5.564175520269783,0,0.0,16,0,0,0,0,-0.25425656787849477,2.916126968056112,Low,7.579305602674641
TX000085,AC00140,154.71,2023-07-03 16:40:24,Debit,San Diego,D000494,167.104.180.235,M030,Online,34,Doctor,157,1,1523.72,2024-11-04 08:09:42,5.047995302853334,0,0.0,16,0,0,0,0,-0.25502675060191704,2.71205821928009,Low,4.195825271048228
TX000086,AC00098,1340.19,2023-09-29 17:22:10,Credit,Austin,D000574,165.114.224.47,M012,Online,54,Engineer,30,1,8654.28,2024-11-04 08:06:53,7.201312558554734,1,0.0,17,0,0,0,0,-0.03765654091717263,60.30678913513644,High,808.2255573101851
TX000087,AC00303,24.56,2023-10-20 17:27:35,Debit,Mesa,D000428,16.131.3.140,M033,Branch,64,Doctor,69,1,9869.93,2024-11-04 08:12:05,3.241028629509334,0,0.0,17,0,0,0,0,-0.1893930087697865,20.10247112500792,Low,4.937166908301945
TX000088,AC00373,568.07,2023-08-28 17:03:53,Debit,Washington,D000018,8.243.4.138,M054,ATM,48,Doctor,115,1,10556.81,2024-11-04 08:07:32,6.344003449406741,0,0.0,17,0,0,0,0,-0.22714970087564612,10.09840237398789,Low,57.36599436591301
TX000089,AC00438,9.61,2023-06-22 18:37:29,Credit,San Diego,D000453,132.127.5.187,M043,Online,58,Doctor,179,1,12883.91,2024-11-04 08:09:10,2.361796952625892,0,0.0,18,0,0,0,0,-0.13384044599075506,34.821759980573134,Medium,3.346371134133078
TX000090,AC00437,392.96,2023-11-20 16:28:09,Debit,Kansas City,D000141,186.54.68.246,M022,Online,24,Student,100,1,791.65,2024-11-04 08:08:38,5.976249381301502,0,0.0,16,0,0,0,0,-0.2527396345523338,3.318055856399401,Low,13.038632293307085
TX000091,AC00106,716.93,2023-09-14 16:49:33,Credit,Milwaukee,D000322,101.223.82.253,M052,Online,60,Retired,34,1,4064.02,2024-11-04 08:08:12,6.576372071259257,0,0.0,16,0,0,0,0,-0.21069474464007304,14.458331814155962,Low,103.65611827522832
TX000092,AC00310,223.85,2023-10-02 16:36:10,Debit,Kansas City,D000481,133.223.159.151,M009,ATM,53,Engineer,55,4,2929.91,2024-11-04 08:08:01,5.415433513216716,0,0.0,16,0,1,0,0,-0.0016365615714892812,69.85069591527024,High,156.36078280633242
TX000093,AC00149,230.66,2023-03-27 18:16:04,Debit,Houston,D000526,60.43.160.195,M049,Branch,21,Student,135,1,618.05,2024-11-04 08:10:44,5.4452707795042,0,0.0,18,0,0,0,0,-0.2458837425370617,5.134603102594917,Low,11.843475516445436
TX000094,AC00373,442.12,2023-12-21 16:37:03,Debit,Los Angeles,D000645,168.36.49.167,M047,Online,19,Student,260,1,1375.8,2024-11-04 08:08:21,6.093840613724849,0,0.0,16,0,0,0,0,-0.16725609407487857,25.967900647340336,Low,114.80928234202109
TX000095,AC00425,644.17,2023-03-02 16:05:09,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,29,Engineer,72,1,1143.52,2024-11-04 08:08:04,6.469513847959858,0,0.0,16,0,0,0,0,-0.23502686708780218,8.01125681238316,Low,51.60611300832859
TX000096,AC00010,508.68,2023-06-26 16:16:50,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,2024-11-04 08:09:32,6.233783077808233,0,0.0,16,0,0,0,0,-0.24938062402923417,4.208064231981465,Low,21.40558113524332
TX000097,AC00348,858.63,2023-04-18 17:27:23,Credit,San Francisco,D000019,175.230.206.232,M002,Branch,27,Student,185,1,1872.96,2024-11-04 08:10:47,6.756502064112833,0,0.0,17,0,0,0,0,-0.2105892960792547,14.48627162014228,Low,124.38347401202766
TX000098,AC00011,25.36,2023-07-17 17:08:24,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,2024-11-04 08:11:05,3.2718477096343066,0,0.0,17,0,0,0,0,-0.18335661974713224,21.70188165125907,Low,5.5035971867593005
TX000099,AC00453,147.62,2023-09-01 17:26:02,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,71,Retired,133,1,2115.8,2024-11-04 08:07:22,5.001392712729324,0,0.0,17,0,0,0,0,-0.22741494753449543,10.028122228585666,Low,14.80351403383816
