customerage,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,credit_risk_score,credit_risk_bucket,total_transactions,avg_fraud_risk_score,max_fraud_risk_score,total_expected_fraud_loss,fraud_loss_score,enterprise_risk_score,enterprise_risk_bucket
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,87.62142805323862,High,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,78.9771888319386,High
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,15.734508930847689,Low,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,35.845037358504044,Low
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,6.112344359379694,Low,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,39.161663596562654,Low
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,60.9956062645652,High,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,73.27170507096318,High
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,9.459346120902437,Low,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,41.169864653476296,Medium
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,12.093774278993218,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,43.93060587961999,Medium
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,9.434335397379414,Low,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,32.06493323842308,Low
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,99.77527870658878,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,84.99750430360173,High
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,98.41980529746225,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,83.66015872274497,High
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,97.5660909342677,High,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,94.03391154149546,High
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,96.02009998179216,High,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,79.97450288814771,High
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,97.7676547182248,High,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,95.33493414315893,High
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,11.32658248581993,Low,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,31.404225035759584,Low
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,1.06613649218463,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,37.31402320753484,Low
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,12.515270598609218,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,29.87160525823795,Low
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,2.0371391163130306,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,37.89662478201188,Low
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,18.72886950915797,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,47.91166301771884,Medium
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,55.44221817966795,Medium,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,68.75958788873561,Medium
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,36.23349854836812,Medium,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,58.41444044124493,Medium
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,62.73091762897876,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,62.770887657035715,Medium
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,34.97800982799329,Medium,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,57.66114720902003,Medium
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,93.78449371549374,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,80.87897177356388,High
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,98.14748165482942,High,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,81.25093189197007,High
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,49.84584854024229,Medium,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,52.26995202321778,Medium
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,18.57701163117998,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,33.5086498777804,Low
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,9.464170045854503,Low,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,41.172759008447535,Medium
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,18.22447796466918,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,47.609028091025564,Medium
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,3.367532744537513,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,38.69486095894656,Low
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4,0.2458979294434588,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,22.509981656738493,Low
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,8.780270908078627,Low,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,40.762419525782015,Medium
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3,41.02906138916904,Medium,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,49.22571237776905,Medium
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,4.454688677272489,Low,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,29.077145206358924,Low
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.5753186116899647,Low,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,25.47752824666244,Low
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4,4.733620565432017,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,39.51451365148327,Low
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,33.277123592596446,Medium,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,55.460531136492705,Medium
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,95.53044348017892,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,82.45060316775582,High
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,80.99028167827174,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,73.72650608661151,High
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.919028549777663,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,37.22575844209066,Low
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,46.53610424709599,Medium,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,63.41591952919243,Medium
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,2.902934798310508,Low,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,26.350036423253933,Low
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,9.879399454492017,Low,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,41.42189665363004,Medium
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3,35.40472155051968,Medium,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,56.73708991124664,Medium
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2,85.34223918302285,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,76.33768058946217,High
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,29.3644053123554,Low,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,44.022975187408676,Medium
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,55.58164097765326,Medium,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,55.71142748566437,Medium
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,18.169560893602146,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,47.576077848385346,Medium
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,76.61298758715672,High,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,82.64213386451809,High
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,23.10877543042194,Low,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,38.997602337901625,Low
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,61.935698608799896,High,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,63.56575116527537,Medium
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,62.348349453305296,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,62.541346751631636,Medium
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,85.53624504706073,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,75.93002257250407,High
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,8.302667378891343,Low,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,29.58987597160243,Low
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,8.077446710647434,Low,,0.0,0.0,0.0,0.0,4.84646802638846,Low
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,38.5031374747177,Medium,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,58.596139465765454,Medium
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,12.077618531110945,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,43.920912430890624,Medium
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,23.866660107685185,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,50.99433737683517,Medium
22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4,19.01591683018474,Low,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,36.54188717775931,Low
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,15.295481421878312,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,31.5397317521994,Low
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,72.95322320725623,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,68.38020946862136,Medium
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,98.19885495708122,High,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,85.32364497424416,High
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,65.09163826390471,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,64.18732003799128,Medium
22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2,0.5765635639862112,Low,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,25.47827521804019,Low
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,90.14654493021676,High,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,90.76226827035411,High
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,53.93807089938494,Medium,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,56.97111808389859,Medium
24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3,86.09679242730869,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,76.26635100065283,High
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,79.56566186827837,High,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,70.10184002003943,High
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,15.410974305834134,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,31.6090274825729,Low
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,14.358536792188634,Low,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,33.22339761958081,Low
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,60.06375418536095,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,61.170589590865035,Medium
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,8.315438778064994,Low,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,40.48352024777383,Medium
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,1.36081956405002,Low,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,25.42476728269764,Low
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,6.800704790062347,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,40.75476418626147,Medium
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,50.79455763973779,Medium,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,65.9709915647775,Medium
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,6.460964343401016,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,40.55091991826467,Medium
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,3.749762506803904,Low,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,37.74411448501718,Low
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,33.67718888732716,Medium,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,42.56875623146871,Medium
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,22.811481578657222,Low,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,38.8192260268428,Low
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,12.03967909169263,Low,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,42.71806443595041,Medium
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,96.7661074129338,High,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,84.46399644775572,High
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,99.82890591094082,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,84.50561909083211,High
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,35.60567429741266,Medium,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,56.857661559382436,Medium
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,79.78125576859618,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,72.47702900542534,High
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,7.535669809725808,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,41.195743198059546,Medium
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,53.8042984447084,Medium,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,67.77683604775987,Medium
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,1.625704399334851,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,37.649763951824966,Low
24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4,17.79803810719665,Low,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,35.28709840858562,Low
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,88.78466060155232,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,77.87907190519903,High
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,24.63676739019174,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,37.14450333318746,Low
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,99.80372433036396,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,85.01457167786684,High
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,88.44105595357952,High,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,89.73897488437177,High
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,88.45069768968573,High,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,88.56467559474626,High
22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3,51.29374865589862,Medium,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,55.90858627318763,Medium
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,99.74556373289174,High,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,95.34159522066987,High
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,88.32602900376268,High,64.0,18.046440675654985,77.22141810930965,4042.4667310934165,66.01082999998857,79.39994940225304,High
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,34.82772102984751,Medium,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,56.390889598843344,Medium
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,8.508357872412864,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,41.779356035671775,Medium
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,11.612083698912214,Low,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,29.329693118419744,Low
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,1.5200377680629091,Low,86.0,15.795998317865111,75.53605239097824,5614.790960795989,91.68585328056014,37.5863639730618,Low
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,90.92572475875792,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,79.68777193490321,High
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,88.35806849472463,High,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,75.37728399590719,High
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,89.39453109826718,High,73.0,17.115316584245292,74.07342471589327,5434.121680879264,88.73564245233709,89.13097563989514,High
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,99.73632830255654,High,50.0,17.808971998836437,77.43078860410014,3767.4929703693633,61.52068886066906,84.45007252580154,High
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,82.31652250080067,High,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,71.75235639955282,High
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,80.58142993000106,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,73.4811950376491,High
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,85.14749264585805,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,76.2208326671633,High
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,83.92048070013168,High,60.0,16.476360535610517,77.63543039788901,3847.7260670378614,62.83084269912115,75.48462549972747,High
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,57.19666379582314,Medium,58.0,16.8168445092511,75.42212930533985,3423.6590967532184,55.906107247681035,56.680441176566305,Medium
