transactiondate,transactionamount,channel,location,deviceid,loginattempts,fraud_risk_score,expected_fraud_loss
2023-10-17 16:09:20,108.75,ATM,Houston,D000081,4,78.74893185834996,85.63946339595557
2023-09-20 17:49:53,13.48,Online,Las Vegas,D000279,3,78.64678956312245,10.601587233108907
2023-01-11 16:09:36,69.38,Branch,Detroit,D000191,2,78.5718565221613,54.5131540550755
2023-12-04 16:16:19,991.82,Online,Milwaukee,D000496,1,77.94737711291287,773.0976756812925
2023-02-27 16:07:46,441.26,Branch,Tucson,D000490,5,77.78203353588864,343.2210011804622
2023-12-11 16:53:08,1294.81,Branch,Washington,D000489,1,77.67234272891444,1005.7092608882571
2023-12-04 17:54:09,180.65,Branch,Charlotte,D000552,5,77.63543039788901,140.24840501378648
2023-02-02 16:55:25,303.97,Online,Fort Worth,D000215,5,77.43078860410014,235.36636811988322
2023-06-21 16:38:54,332.06,ATM,Seattle,D000365,4,77.22835786768016,256.44448513541874
2023-01-05 16:40:09,434.17,ATM,Atlanta,D000238,5,77.22141810930965,335.2722310051897
2023-10-18 17:47:52,302.16,Online,Kansas City,D000123,5,77.2147641874387,233.3121314687648
2023-03-15 18:42:16,733.29,ATM,Virginia Beach,D000618,5,76.62996302989296,561.9198559019021
2023-04-07 16:04:01,238.54,ATM,Indianapolis,D000428,4,76.49835581896463,182.4791779705582
2023-06-05 17:24:29,331.32,Branch,Sacramento,D000334,5,76.46773112413481,253.35288676048347
2023-11-01 17:59:04,11.06,ATM,Colorado Springs,D000153,3,76.4505076430242,8.455426145318476
2023-03-16 17:00:29,26.07,Branch,Baltimore,D000552,3,76.2713934310699,19.883952267479923
2023-05-15 18:47:35,83.5,Branch,Dallas,D000446,5,76.24892489371261,63.66785228625003
2023-03-14 17:06:18,176.52,Online,San Diego,D000333,5,76.20497224014332,134.517016998301
2023-04-13 18:37:48,514.95,Online,New York,D000109,5,76.14491626871818,392.1082463257643
2023-01-11 16:56:58,253.55,ATM,Jacksonville,D000112,5,75.970345419945,192.6228108122706
2023-06-15 18:28:50,142.19,Branch,Houston,D000416,4,75.7911779475081,107.76747592356178
2023-04-10 17:53:04,119.95,Branch,Philadelphia,D000292,5,75.56722218970926,90.64288301655625
2023-07-07 17:40:58,170.19,Branch,Los Angeles,D000255,5,75.5661425304999,128.60601797265778
2023-02-16 17:34:34,624.0,Branch,Houston,D000207,5,75.53605239097824,471.3449669197042
2023-09-11 16:35:15,21.23,ATM,Virginia Beach,D000174,4,75.42212930533985,16.01211805152365
2023-01-03 16:28:03,737.46,Branch,Albuquerque,D000443,4,75.21818491340811,554.7040264624194
2023-04-17 16:37:01,246.93,ATM,Miami,D000046,5,75.09325201399388,185.42776719815507
2023-03-06 16:45:24,341.67,Branch,Omaha,D000160,5,74.98104435272246,256.18773423994685
2023-11-16 17:57:45,120.86,Online,Colorado Springs,D000035,4,74.9794229427661,90.62013056862712
2023-07-31 16:26:33,29.91,Online,Philadelphia,D000551,3,74.41918021072107,22.258776801026674
2023-06-07 17:02:33,1.41,ATM,Sacramento,D000344,1,74.32782185257226,1.0480222881212686
2023-11-17 17:59:11,139.57,ATM,Fort Worth,D000222,3,74.15730747952901,103.50135404917863
2023-07-04 16:25:35,32.54,Online,Oklahoma City,D000008,4,74.07342471589327,24.10349240255167
2023-03-14 16:25:04,505.19,ATM,Kansas City,D000660,5,74.02162124903569,373.94982838800337
2023-11-07 17:38:05,668.67,Online,Detroit,D000682,4,73.86954334972988,493.9434755166388
2023-08-11 17:57:52,353.59,Branch,New York,D000311,5,73.56954935394926,260.1345695606292
2023-04-10 18:26:56,97.09,ATM,Fort Worth,D000164,4,73.24950185771164,71.11794135365223
2023-11-20 16:27:31,445.41,ATM,Fresno,D000039,3,73.1214229909796,325.69013014412224
2023-04-17 16:50:45,66.9,Online,Charlotte,D000221,4,73.06611563363138,48.8812313588994
2023-02-20 18:41:43,705.6,Branch,Phoenix,D000103,3,72.63619056210445,512.520960606209
2023-12-04 16:57:39,451.31,ATM,Fort Worth,D000020,5,72.58326510744631,327.5755337564159
2023-09-21 16:08:00,204.7,Branch,Oklahoma City,D000359,5,72.55772845996488,148.5256701575481
2023-06-26 16:04:11,7.31,Branch,Las Vegas,D000060,1,72.50634396953568,5.300213744173058
2023-07-12 16:50:42,30.87,ATM,Fresno,D000015,1,72.46010434178179,22.36843421030804
2023-03-08 18:51:57,5.29,Online,Indianapolis,D000479,1,72.1668142686929,3.8176244748138544
2023-09-08 16:09:45,74.11,Online,Virginia Beach,D000320,4,72.16511503258074,53.481566750645584
2023-08-03 18:35:54,146.55,Online,Virginia Beach,D000163,5,71.57984291962096,104.90025979870452
2023-12-21 17:01:24,26.06,ATM,San Diego,D000689,1,71.51741869306618,18.637439311413047
2023-05-23 17:12:39,337.73,Online,San Antonio,D000480,4,71.20685851005955,240.4869232460241
2023-02-06 17:32:11,79.92,ATM,Miami,D000193,2,70.92421911426048,56.68263591611697
2023-09-12 16:50:21,194.85,Online,Jacksonville,D000601,4,70.63448521603058,137.6312944434356
2023-06-16 17:33:15,7.79,Branch,Los Angeles,D000214,1,70.47883370211552,5.490301145394799
2023-06-19 17:31:08,178.88,Branch,Dallas,D000101,4,70.309152298315,125.76901163122588
2023-08-07 16:57:22,152.18,Online,Los Angeles,D000637,4,70.2339079994587,106.88196119357623
2023-10-20 16:29:44,589.89,Branch,Jacksonville,D000252,3,70.12818207038563,413.6791332149978
2023-11-13 16:32:53,11.02,Branch,Tucson,D000320,1,69.95082327341962,7.708580724730841
2023-06-05 17:08:37,8.65,Online,Las Vegas,D000309,1,69.86100626443782,6.042977041873872
2023-10-02 16:36:10,223.85,ATM,Kansas City,D000481,4,69.85069591527024,156.36078280633242
2023-06-08 16:27:56,84.34,Online,Memphis,D000493,3,69.52152084611402,58.63445068161256
2023-01-09 16:49:07,14.16,Branch,Oklahoma City,D000665,1,69.47591437918301,9.837789476092315
2023-10-20 17:53:13,7.49,Online,Houston,D000671,1,69.35660616163614,5.194809801506547
2023-09-06 16:03:15,1135.8,ATM,San Diego,D000485,1,69.34134162420403,787.5789581677094
2023-02-28 17:45:06,1250.94,ATM,Columbus,D000282,2,69.22138590968689,865.9180048986372
2023-04-03 16:01:51,76.51,Online,Mesa,D000242,4,69.06172256972273,52.839123938094865
2023-04-06 16:03:23,50.52,Branch,Los Angeles,D000619,1,69.01355120998639,34.86564607128513
2023-11-09 18:45:10,336.01,Online,Colorado Springs,D000216,4,68.64627400475459,230.6583452833759
2023-10-17 17:46:52,484.3,Online,Boston,D000407,3,68.19212575510578,330.2544650319773
2023-05-04 16:25:15,126.22,ATM,Atlanta,D000094,4,68.01703550989053,85.85110222058383
2023-06-09 16:20:12,109.28,Online,San Diego,D000047,4,67.90870606277781,74.21063398540359
2023-05-02 17:24:26,312.47,ATM,Milwaukee,D000658,4,67.87389231939905,212.0855513304262
2023-12-28 16:34:52,192.23,Online,Albuquerque,D000117,3,67.69301727354666,130.12628710493874
2023-10-20 17:48:44,10.92,ATM,Jacksonville,D000383,1,67.6773452599593,7.3903661023875555
2023-04-19 17:03:11,40.12,ATM,Dallas,D000203,1,67.50642931307407,27.083579440405313
2023-03-02 17:02:57,361.38,Online,Milwaukee,D000444,3,67.1641486276737,242.71780031068718
2023-02-07 17:20:24,121.82,Online,Colorado Springs,D000095,3,67.00116868900588,81.62082369694696
2023-11-29 17:38:53,122.85,Online,Seattle,D000392,3,66.91694251125152,82.20746387507249
2023-10-16 18:47:17,95.23,Online,Denver,D000287,3,66.81218388363023,63.625242712381066
2023-08-08 17:15:50,1512.99,Online,Philadelphia,D000032,1,66.64672081943122,1008.3582213259125
2023-02-06 17:23:52,340.13,Branch,Mesa,D000203,3,66.44943456686558,226.01446179227986
2023-09-18 16:28:56,112.66,Online,Philadelphia,D000602,3,66.26620468455964,74.65550619762489
2023-01-09 17:56:30,7.82,ATM,Boston,D000063,1,66.18224808657435,5.175451800370114
2023-07-17 17:15:21,25.77,Online,San Diego,D000026,1,66.10476429422538,17.035197758621877
2023-08-14 16:46:26,136.48,Online,Charlotte,D000119,4,65.99381542421388,90.0683592909671
2023-08-30 18:38:56,917.81,ATM,Kansas City,D000217,2,65.95863537036102,605.3749512927104
2023-08-31 16:16:15,1108.46,Branch,Los Angeles,D000353,1,65.89421793897476,730.4110481663597
2023-12-05 16:01:44,53.79,ATM,Philadelphia,D000199,3,65.83009997862652,35.41001077850321
2023-10-23 16:50:33,1049.92,ATM,Detroit,D000522,1,65.80902068750765,690.9420700022805
2023-06-26 16:08:25,838.57,ATM,Phoenix,D000430,1,65.79053530919916,551.6996919423515
2023-02-06 16:42:16,590.01,Online,San Jose,D000248,3,65.65627680614234,387.37859878392044
2023-01-23 16:19:25,136.05,Online,Atlanta,D000362,3,65.51520770629158,89.1334400844097
2023-08-14 16:01:57,75.43,ATM,Fresno,D000280,1,65.43620625602344,49.35853037891849
2023-03-01 16:31:58,1830.0,Online,San Antonio,D000436,1,65.35327010036502,1195.96484283668
2023-03-01 16:09:58,85.73,ATM,Virginia Beach,D000072,1,65.20117216044231,55.8969648931472
2023-09-25 16:26:00,396.45,ATM,New York,D000621,3,64.9297593567438,257.41403096981077
2023-10-19 17:41:40,363.84,Online,Columbus,D000069,3,64.78389257902663,235.70971475953047
2023-11-16 17:14:01,302.76,ATM,Sacramento,D000640,3,64.54682194874535,195.42195813202142
2023-06-27 17:48:25,1919.11,ATM,Portland,D000191,1,64.47862418578718,1237.4157246118602
2023-08-28 16:00:00,71.34,Online,Miami,D000256,3,64.38125940323177,45.929590458265544
2023-06-08 16:56:16,403.63,Branch,Las Vegas,D000573,3,64.33595459904036,259.67921354810665
2023-01-13 16:23:56,10.31,Online,Louisville,D000072,1,64.10754762639178,6.609488160280993
2023-02-13 16:53:36,24.86,Branch,Jacksonville,D000340,1,63.995275867423004,15.90922558064136
2023-09-15 17:31:42,1831.02,Online,Columbus,D000246,1,63.92611274944387,1170.4999096648671
2023-11-20 17:51:05,334.79,Branch,Denver,D000673,1,63.702484062105256,213.2695463915222
2023-03-31 16:52:35,986.81,Online,Houston,D000093,1,63.584466899190176,627.4578778078985
2023-05-29 17:45:26,46.23,Online,Fresno,D000350,1,63.526886016430815,29.368479405395966
2023-05-02 18:25:46,345.84,Online,Fort Worth,D000162,3,63.36977708763476,219.15803707987604
2023-12-25 17:41:30,1647.74,ATM,Louisville,D000593,1,63.236671985697704,1041.9759389771352
2023-03-06 17:05:25,460.09,Online,Fresno,D000033,3,62.8636637786404,289.2294306791466
2023-03-15 16:33:09,408.28,Branch,Nashville,D000638,3,62.733384037744955,256.1278603493051
2023-11-15 16:54:44,157.37,Branch,Dallas,D000001,1,62.53405879768413,98.40984832991552
2023-06-15 16:48:29,1510.71,Online,Oklahoma City,D000106,1,62.203887423531945,939.7203476960394
2023-12-20 17:15:14,31.53,Online,Kansas City,D000328,1,62.18560912514014,19.607122557156686
2023-07-12 16:52:54,116.97,ATM,Oklahoma City,D000054,1,62.10178672147817,72.64045992811302
2023-10-24 16:43:03,193.54,Branch,Oklahoma City,D000150,1,61.969270976412446,119.93532704774864
2023-11-13 16:46:06,881.1,Branch,Phoenix,D000309,1,61.95396817974721,545.8764136317527
2023-04-24 16:47:17,872.72,Online,Washington,D000559,1,61.82404680904886,539.5508213119313
2023-11-27 16:37:11,280.61,ATM,Mesa,D000485,3,61.5335042652837,172.66916631881261
2023-01-10 16:28:02,959.48,Branch,Miami,D000120,1,61.4335603385494,589.4427247363137
2023-11-03 16:31:22,726.61,ATM,Phoenix,D000141,1,61.3972642351003,446.1186616586623
2023-02-23 16:41:55,152.01,ATM,Fort Worth,D000407,3,61.344958190791296,93.25047094582185
2023-07-03 17:42:08,227.14,ATM,Charlotte,D000439,1,61.307695282218724,139.25429906403158
2023-07-10 17:49:18,1422.55,Branch,Washington,D000569,1,61.23489435721686,871.0969896785884
2023-12-11 17:19:07,946.94,Branch,Charlotte,D000019,1,61.1110419616846,578.6849007519762
2023-08-16 16:28:30,849.76,ATM,Seattle,D000690,1,61.02929038355066,518.6024979632601
2023-05-22 16:33:16,841.5,Branch,Atlanta,D000659,1,60.82977871318545,511.88258787145554
2023-09-25 16:23:57,981.76,Online,Milwaukee,D000625,1,60.65095549243741,595.4468206425535
2023-01-23 17:24:29,1092.73,Branch,Columbus,D000688,1,60.60672621587767,662.2678793787601
2023-09-25 16:51:23,1360.01,Branch,Phoenix,D000582,1,60.532139600854315,823.2431517855788
2023-06-12 16:25:21,1168.26,Online,Philadelphia,D000697,1,60.5154400602567,706.9776800479549
2023-03-13 16:59:33,227.5,Online,Sacramento,D000227,1,60.50503998816065,137.64896597306546
2023-03-01 17:52:14,213.76,ATM,Dallas,D000574,1,60.43702278862541,129.19017991296568
2023-07-24 17:46:13,1612.37,ATM,Los Angeles,D000025,1,60.378406348023795,973.5233104336312
2023-08-02 16:01:17,499.99,Branch,San Jose,D000100,1,60.31965093463637,301.5922227080884
2023-09-29 17:22:10,1340.19,Online,Austin,D000574,1,60.30678913513644,808.2255573101851
2023-02-20 16:36:36,1228.81,ATM,San Francisco,D000381,1,60.252868124650995,740.3932688025238
2023-06-08 18:54:04,68.28,Online,Boston,D000649,1,60.23394599531224,41.1277383255992
2023-06-09 16:31:56,259.49,Online,Austin,D000433,1,60.14852353585538,156.07940372319112
2023-11-06 16:35:59,896.79,Online,Dallas,D000582,1,60.01245593802933,538.1857036066532
