person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,credit_risk_score,credit_risk_bucket
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,31.99163202061416,Medium
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,2.696272958585398,Low
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,71.35508569728881,High
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,98.12835345225179,High
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,5.407924727938821,Low
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,93.79035393882407,High
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,89.30918465684047,High
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,99.26975789529894,High
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,5.640496589890152,Low
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,87.14638992008949,High
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,87.62142805323862,High
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,15.734508930847687,Low
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,6.112344359379694,Low
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,60.995606264565204,High
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,9.459346120902435,Low
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,12.093774278993218,Low
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,9.434335397379414,Low
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,99.77527870658878,High
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,98.41980529746223,High
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,97.5660909342677,High
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,96.02009998179216,High
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,97.7676547182248,High
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,11.32658248581993,Low
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,1.0661364921846301,Low
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,12.515270598609218,Low
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,2.0371391163130306,Low
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,18.72886950915797,Low
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,55.44221817966795,Medium
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,36.23349854836812,Medium
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,62.73091762897876,High
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,34.97800982799329,Medium
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,93.78449371549374,High
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,98.14748165482942,High
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,49.84584854024229,Medium
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,18.57701163117998,Low
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,9.464170045854503,Low
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,18.22447796466918,Low
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,3.367532744537513,Low
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4,0.24589792944345887,Low
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,8.780270908078627,Low
24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3,41.029061389169044,Medium
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,4.454688677272489,Low
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.5753186116899647,Low
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4,4.733620565432017,Low
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,33.277123592596446,Medium
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,95.53044348017893,High
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,80.99028167827174,High
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.919028549777663,Low
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,46.53610424709599,Medium
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,2.9029347983105076,Low
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,9.879399454492015,Low
25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3,35.40472155051968,Medium
22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2,85.34223918302285,High
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,29.3644053123554,Low
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,55.58164097765326,Medium
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,18.169560893602146,Low
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,76.61298758715672,High
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,23.10877543042194,Low
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,61.935698608799896,High
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,62.348349453305296,High
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,85.53624504706073,High
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,8.302667378891343,Low
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,8.077446710647434,Low
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,38.5031374747177,Medium
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,12.077618531110943,Low
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,23.866660107685185,Low
22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4,19.01591683018474,Low
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,15.295481421878312,Low
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,72.95322320725623,High
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,98.19885495708122,High
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,65.09163826390471,High
22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2,0.5765635639862112,Low
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,90.14654493021676,High
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,53.93807089938494,Medium
24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3,86.09679242730869,High
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,79.56566186827837,High
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,15.410974305834134,Low
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,14.358536792188634,Low
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,60.06375418536095,High
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,8.315438778064994,Low
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,1.36081956405002,Low
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,6.800704790062347,Low
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,50.79455763973779,Medium
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,6.460964343401016,Low
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,3.7497625068039038,Low
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,33.67718888732716,Medium
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,22.811481578657226,Low
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,12.03967909169263,Low
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,96.76610741293379,High
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,99.82890591094082,High
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,35.60567429741266,Medium
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,79.78125576859618,High
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,7.535669809725808,Low
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,53.8042984447084,Medium
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,1.625704399334851,Low
24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4,17.79803810719665,Low
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,88.78466060155232,High
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,24.63676739019174,Low
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,99.80372433036395,High
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,88.44105595357952,High
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,88.45069768968573,High
22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3,51.29374865589862,Medium
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,99.74556373289174,High
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,88.32602900376268,High
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,34.82772102984751,Medium
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,8.508357872412864,Low
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,11.612083698912214,Low
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,1.5200377680629091,Low
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,90.92572475875791,High
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,88.35806849472463,High
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,89.39453109826718,High
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,99.73632830255654,High
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,82.31652250080067,High
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,80.58142993000106,High
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,85.14749264585805,High
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,83.92048070013168,High
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,57.19666379582314,Medium
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,2.5904450156331538,Low
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,4.002816616676414,Low
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,28.06019405767486,Low
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,4.95338968232883,Low
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,4.661841836976194,Low
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,3.0484100477345697,Low
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,90.07673813333942,High
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,99.49252096311993,High
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,87.25445219826172,High
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,99.67377691586118,High
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,99.23909963066815,High
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,18.484099499151775,Low
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,40.33480522143747,Medium
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,2.7095609708093136,Low
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.8153040743035085,Low
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,99.43149473178666,High
22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4,77.89215080868044,High
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4,98.75579642141848,High
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,78.33277518863306,High
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,97.9622747063096,High
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,86.55881560755572,High
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,89.80943278686271,High
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,1.786285724102293,Low
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,54.36842264316427,Medium
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,99.52060090680484,High
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,74.85974428140035,High
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,75.01953208951463,High
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,98.93335303009772,High
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3,87.20351971702368,High
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,16.09452127952011,Low
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,14.855392963242997,Low
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,6.492459818882974,Low
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,99.44080100128036,High
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,80.30537778812491,High
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,73.77066487715784,High
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,70.71374417933013,High
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,81.10079258038337,High
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,98.96833627687448,High
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0,0.14,N,2,2.1051558576295575,Low
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,8.29029076989308,Low
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,1.2385507385350103,Low
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,6.321324758743173,Low
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,8.255092518789073,Low
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,6.5297807650992095,Low
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,56.934768631587914,Medium
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,67.91330577493801,High
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,5.084481914219106,Low
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,4.680547308959149,Low
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,51.91255084776032,Medium
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,3.05358641664457,Low
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,6.27520660994256,Low
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3,6.33758726870355,Low
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2,98.19149616927038,High
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4,28.12007090805606,Low
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,95.37646549189736,High
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,44.276130014795534,Medium
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,45.40082010115826,Medium
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,95.01940626900944,High
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,95.43744596063621,High
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,4.991574452306077,Low
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,35.36407078061824,Medium
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,11.124522280965925,Low
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,93.38287521323271,High
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,38.018288443592354,Medium
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,54.526735075864366,Medium
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,56.64700428218985,Medium
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,97.15980205757754,High
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,92.60074192074889,High
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,78.17401834852744,High
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,34.02847552397202,Medium
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,67.38077294803048,High
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,58.5080546394395,Medium
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,56.961896648223444,Medium
24,192000,RENT,0.0,MEDICAL,C,22000,,0,0.11,Y,2,12.362153051106727,Low
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,1.2778675884720994,Low
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,9.46942698967138,Low
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,,0,0.08,N,3,4.47219455102014,Low
22,190000,MORTGAGE,3.0,VENTURE,C,10000,,0,0.05,N,3,4.103661348547108,Low
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,41.925492939174234,Medium
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,93.29341462763675,High
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,2.9096336104143203,Low
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.9726520385810398,Low
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,,1,0.32,Y,2,60.53705681691953,High
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,30.084561844178154,Medium
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,30.23126099894529,Medium
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.6847234473648385,Low
24,185000,MORTGAGE,,EDUCATION,B,35000,12.42,0,0.19,N,2,2.687925855593019,Low
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,9.190834478427542,Low
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,95.12839679203296,High
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,83.70875303200297,High
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,67.05420636720967,High
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,90.98395590876265,High
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,46.07181033840815,Medium
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,,0,0.1,N,4,31.64517251752295,Medium
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,25.03062588240681,Low
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,61.31739484723724,High
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,11.172995128786036,Low
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,1.0815902553442467,Low
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,69.14656026122972,High
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,1.529108588393921,Low
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,11.529058941793965,Low
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,6.874995032699266,Low
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,,0,0.01,N,2,6.158969566031854,Low
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,3.0660954706642327,Low
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,96.64979547229514,High
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,,1,0.34,Y,4,93.74711638959002,High
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,39.18669991186965,Medium
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,51.094102071701876,Medium
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,24.36007530256722,Low
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,34.5592501218935,Medium
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,87.76501607559986,High
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,66.50260233761223,High
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,2.5330379426432397,Low
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,94.08637314652906,High
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,9.490480992279583,Low
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,95.32743532576625,High
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,43.261627408045065,Medium
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,3.584079944219814,Low
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,3.23100632440301,Low
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,76.07003142350446,High
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,,1,0.41,N,4,94.24170155928296,High
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,93.11370012174336,High
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,89.25944940064157,High
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,94.99625010264432,High
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,93.86335854549225,High
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,40.80970869423244,Medium
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,69.26427919491985,High
